NameTo,NameFrom,To,From,Migrants,PopulationTo,PopulationFrom,Distance
Agglomeratie 's-Gravenhage ,Oost-Zuid-Holland ,26,28,1111,759778,322858,23.03
Agglomeratie 's-Gravenhage ,Groot-Rijnmond ,26,29,3454,759778,1359640,25.36
Agglomeratie 's-Gravenhage ,Zuidoost-Zuid-Holland ,26,30,433,759778,398963,41.55
Agglomeratie 's-Gravenhage ,Flevoland ,26,40,448,759778,351680,95.78
Delft en Westland ,Utrecht ,27,17,274,210980,1152218,66.33
Delft en Westland ,Kop van Noord-Holland ,27,18,66,210980,361764,111.4
Delft en Westland ,Alkmaar en omgeving ,27,19,49,210980,223936,81.91
Delft en Westland ,IJmond ,27,20,17,210980,187456,63.54
Delft en Westland ,Agglomeratie Haarlem ,27,21,65,210980,217606,49.52
Delft en Westland ,Zaanstreek ,27,22,24,210980,154974,65.73
Delft en Westland ,Groot-Amsterdam ,27,23,252,210980,1184987,61.37
Delft en Westland ,Het Gooi en Vechtstreek ,27,24,59,210980,242397,67.96
Delft en Westland ,Aggl. Leiden en Bollenstreek ,27,25,201,210980,387763,29.37
Delft en Westland ,Agglomeratie 's-Gravenhage ,27,26,2854,210980,759778,12.47
Delft en Westland ,Delft en Westland ,27,27,0,210980,210980,0
Delft en Westland ,Oost-Zuid-Holland ,27,28,117,210980,322858,31.8
Delft en Westland ,Groot-Rijnmond ,27,29,1126,210980,1359640,14.57
Delft en Westland ,Zuidoost-Zuid-Holland ,27,30,105,210980,398963,43.31
Delft en Westland ,Flevoland ,27,40,80,210980,351680,107.62
Oost-Zuid-Holland ,Utrecht ,28,17,765,322858,1152218,34.65
Oost-Zuid-Holland ,Kop van Noord-Holland ,28,18,68,322858,361764,93.22
Oost-Zuid-Holland ,Alkmaar en omgeving ,28,19,33,322858,223936,65.59
Oost-Zuid-Holland ,IJmond ,28,20,31,322858,187456,48.3
Oost-Zuid-Holland ,Agglomeratie Haarlem ,28,21,54,322858,217606,34.47
Oost-Zuid-Holland ,Zaanstreek ,28,22,26,322858,154974,45.97
Oost-Zuid-Holland ,Groot-Amsterdam ,28,23,479,322858,1184987,39.12
Oost-Zuid-Holland ,Het Gooi en Vechtstreek ,28,24,52,322858,242397,36.99
Oost-Zuid-Holland ,Aggl. Leiden en Bollenstreek ,28,25,713,322858,387763,20.35
Oost-Zuid-Holland ,Agglomeratie 's-Gravenhage ,28,26,860,322858,759778,23.03
Oost-Zuid-Holland ,Delft en Westland ,28,27,115,322858,210980,31.8
Oost-Zuid-Holland ,Oost-Zuid-Holland ,28,28,0,322858,322858,0
Oost-Zuid-Holland ,Groot-Rijnmond ,28,29,1301,322858,1359640,37.77
Oost-Zuid-Holland ,Zuidoost-Zuid-Holland ,28,30,190,322858,398963,26.19
Oost-Zuid-Holland ,Flevoland ,28,40,144,322858,351680,78.33
Groot-Rijnmond ,Utrecht ,29,17,1499,1359640,1152218,70.14
Groot-Rijnmond ,Kop van Noord-Holland ,29,18,251,1359640,361764,124.31
Groot-Rijnmond ,Alkmaar en omgeving ,29,19,165,1359640,223936,94.99
Groot-Rijnmond ,IJmond ,29,20,110,1359640,187456,76.55
Groot-Rijnmond ,Agglomeratie Haarlem ,29,21,173,1359640,217606,62.18
Groot-Rijnmond ,Zaanstreek ,29,22,85,1359640,154974,77.77
Groot-Rijnmond ,Groot-Amsterdam ,29,23,1389,1359640,1184987,72.62
Groot-Rijnmond ,Het Gooi en Vechtstreek ,29,24,198,1359640,242397,74.71
Groot-Rijnmond ,Aggl. Leiden en Bollenstreek ,29,25,650,1359640,387763,41.75
Groot-Rijnmond ,Agglomeratie 's-Gravenhage ,29,26,2891,1359640,759778,25.36
Groot-Rijnmond ,Delft en Westland ,29,27,1299,1359640,210980,14.57
